Company(Maker-if known), Specific Bean Origin or Bar Name,REF,Review Date,Cocoa Percent,Company Location,Rating,Bean Type,Broad Bean Origin
Cacao de Origen,Agua Fria; Sucre region,1391.0,2014.0,75%,Venezuela,2.5,,Venezuela
Cacao de Origen,Macuare; Miranda; Chloe formula,1391.0,2014.0,74%,Venezuela,3.25,,Venezuela
Cacao de Origen,"Chuao, Aragua region",1391.0,2014.0,75%,Venezuela,3.5,Trinitario,Venezuela
Cacao de Origen,"Chuao, Aragua region",1395.0,2014.0,70%,Venezuela,3.75,Trinitario,Venezuela
Cacao de Origin,Hacienda la Trinidad,1668.0,2015.0,74%,Venezuela,3.25,,Venezuela
Cacao Hunters,Macondo,1816.0,2016.0,71%,Colombia,3.75,,Colombia
Cacao Hunters,Perla Negra,1816.0,2016.0,74%,Colombia,3.75,,Colombia
Cacao Hunters,Arhuacos,1662.0,2015.0,72%,Colombia,3.75,,Colombia
Cacao Hunters,Sierra Nevada,1430.0,2014.0,64%,Colombia,3.5,,Colombia
Cacao Hunters,Tumaco,1430.0,2014.0,70%,Colombia,3.5,,Colombia
Cacao Hunters,"Boyaca, Aprocampa Coop, Pauna",1434.0,2014.0,69%,Colombia,2.75,,Colombia
Cacao Hunters,Arauca,1434.0,2014.0,70%,Colombia,3.25,,Colombia
Cacao Market,"Jutiapa, lot 050916D",1860.0,2016.0,70%,U.S.A.,3.5,Trinitario,Honduras
Cacao Prieto,"Criollo, Dominican Republic",991.0,2012.0,72%,U.S.A.,3.75,Criollo,Dominican Republic
Cacao Prieto,"Dominican Republicm, rustic",641.0,2011.0,72%,U.S.A.,3.0,,Dominican Republic
Cacao Prieto,Dominican Republic,641.0,2011.0,66%,U.S.A.,3.75,,Dominican Republic
Cacao Prieto,"Dominican Republic, rustic",647.0,2011.0,65%,U.S.A.,3.25,,Dominican Republic
Cacao Sampaka,"Mahali, Kasai",1908.0,2016.0,70%,Spain,3.5,Criollo,Congo
Cacao Sampaka,Madagascar,508.0,2010.0,71%,Spain,3.5,Trinitario,Madagascar
Cacao Sampaka,Ecuador,523.0,2010.0,71%,Spain,3.75,,Ecuador
Cacao Sampaka,Papua,523.0,2010.0,71%,Spain,4.0,,Papua New Guinea
Cacao Sampaka,Grenada,537.0,2010.0,71%,Spain,3.25,Trinitario,Grenada
Cacao Sampaka,Venezuela,537.0,2010.0,71%,Spain,3.5,,Venezuela
Cacao Sampaka,Venezuela,537.0,2010.0,77%,Spain,3.5,,Venezuela
Cacao Sampaka,"Porcelana, Tabasco, La Joya",336.0,2009.0,70%,Spain,4.0,Criollo,Mexico
Cacao Sampaka,"Xoconusco, Chiapas",346.0,2009.0,70%,Spain,4.0,Criollo,Mexico
Cacao Store,Madagascar,1684.0,2015.0,70%,Japan,3.0,Trinitario,Madagascar
Cacao Store,Peru,1684.0,2015.0,70%,Japan,3.25,,Peru
Cacao Store,Vietnam,1684.0,2015.0,70%,Japan,3.5,Trinitario,Vietnam
Cacaosuyo (Theobroma Inversiones),Piura,1173.0,2013.0,70%,Peru,3.25,,Peru
Cacaoyere (Ecuatoriana),Amazonia,237.0,2008.0,63%,Ecuador,3.5,Forastero (Arriba),Ecuador
Cacaoyere (Ecuatoriana),Esmeraldas,237.0,2008.0,71%,Ecuador,3.5,Forastero (Arriba),Ecuador
Cacaoyere (Ecuatoriana),Bolivar,245.0,2008.0,82%,Ecuador,2.5,Forastero (Arriba),Ecuador
Cacaoyere (Ecuatoriana),Pichincha,259.0,2008.0,91%,Ecuador,1.5,Forastero (Arriba),Ecuador
Callebaut,Grenade,296.0,2008.0,60%,Belgium,2.75,Trinitario,Grenada
Callebaut,Baking,141.0,2007.0,70%,Belgium,1.0,,Ecuador
C-Amaro,Cuba,1442.0,2014.0,75%,Italy,2.5,,Cuba
C-Amaro,Dominican Republic,1442.0,2014.0,72%,Italy,3.0,,Dominican Republic
C-Amaro,"Lago di Como, Blu",1442.0,2014.0,70%,Italy,3.5,Blend,
C-Amaro,Ecuador,1185.0,2013.0,100%,Italy,3.5,,Ecuador
C-Amaro,Venezuela,809.0,2012.0,80%,Italy,3.0,,Venezuela
C-Amaro,Sao Tome,749.0,2011.0,78%,Italy,2.25,Forastero,Sao Tome
C-Amaro,Trinidad,765.0,2011.0,70%,Italy,2.5,Trinitario,Trinidad
Cao,Porcelana,1804.0,2016.0,75%,U.S.A.,2.5,Criollo,Venezuela
Cao,Tanzania,1804.0,2016.0,73%,U.S.A.,2.75,,Tanzania
Cao,"Porcelana, Batch 5163",1804.0,2016.0,70%,U.S.A.,3.0,Criollo,Venezuela
Cao,Bolivia,1808.0,2016.0,75%,U.S.A.,3.0,,Bolivia
Cao,Brazil,1808.0,2016.0,70%,U.S.A.,3.25,Trinitario,Brazil
Caoni (Tulicorp),Esmeraldas,237.0,2008.0,77%,Ecuador,2.0,Forastero (Arriba),Ecuador
Caoni (Tulicorp),Manabi,237.0,2008.0,77%,Ecuador,2.5,Forastero (Arriba),Ecuador
Caoni (Tulicorp),Los Rios,245.0,2008.0,77%,Ecuador,2.75,Forastero (Arriba),Ecuador
Caoni (Tulicorp),Manabi,266.0,2008.0,55%,Ecuador,3.0,Forastero (Arriba),Ecuador
Caoni (Tulicorp),Los Rios,269.0,2008.0,55%,Ecuador,3.25,Forastero (Arriba),Ecuador
Caoni (Tulicorp),Esmeraldas,269.0,2008.0,55%,Ecuador,3.5,Forastero (Arriba),Ecuador
Captain Pembleton,"Saidor Estate, Madang P.",1263.0,2014.0,70%,New Zealand,3.5,Trinitario,Papua New Guinea
Captain Pembleton,Kulili Estate,1263.0,2014.0,70%,New Zealand,3.75,,Papua New Guinea
Caribeans,"Antigua, Special Reserve",1582.0,2015.0,72%,Costa Rica,3.5,,Guatemala
Caribeans,"Talamanca, Raul-Kekoldo community",1586.0,2015.0,72%,Costa Rica,3.25,,Costa Rica
Caribeans,Anselmo Paraiso Estate,1586.0,2015.0,72%,Costa Rica,3.5,,Costa Rica
Caribeans,Costa Rica,841.0,2012.0,72%,Costa Rica,3.0,Forastero,Costa Rica
Caribeans,Costa Rica,845.0,2012.0,80%,Costa Rica,2.75,Forastero,Costa Rica
Carlotta Chocolat,Arauca,1884.0,2016.0,65%,Colombia,3.0,Trinitario,Colombia
Carlotta Chocolat,Tumaco,1888.0,2016.0,65%,Colombia,3.25,Trinitario,Colombia
Carlotta Chocolat,Cordoba,1888.0,2016.0,65%,Colombia,3.25,Trinitario,Colombia
Carlotta Chocolat,Huila,1888.0,2016.0,65%,Colombia,3.5,Trinitario,Colombia
Carlotta Chocolat,Cesar,1888.0,2016.0,65%,Colombia,3.5,CCN51,Colombia
Castronovo,"Maya Mtn, Batch 454, Heirloom",1724.0,2016.0,72%,U.S.A.,4.0,Trinitario,Belize
Castronovo,"the lost city, gracias a dias, batch 362",1570.0,2015.0,72%,U.S.A.,3.5,Trinitario,Honduras
Castronovo,"Duarte, Batch 360",1570.0,2015.0,70%,U.S.A.,3.75,"Criollo, Trinitario",Domincan Republic
Castronovo,"Piaroa, Amazonas, Batch 350",1574.0,2015.0,72%,U.S.A.,3.5,,Venezuela
Castronovo,Sierra Nevada,1347.0,2014.0,72%,U.S.A.,3.5,"Criollo, Trinitario",Colombia
Castronovo,Arauca,1371.0,2014.0,76%,U.S.A.,3.5,"Criollo, Trinitario",Colombia
Castronovo,Elvesia P.,1407.0,2014.0,70%,U.S.A.,2.75,Trinitario,Dominican Republic
Castronovo,Bolivia,1101.0,2013.0,70%,U.S.A.,3.0,Trinitario,Bolivia
Castronovo,Conacado,1101.0,2013.0,73%,U.S.A.,3.5,Trinitario,Dominican Republic
Castronovo,San Martin,1105.0,2013.0,70%,U.S.A.,2.5,Criollo,Peru
Castronovo,"Guaniamo, Amazonas",1105.0,2013.0,70%,U.S.A.,3.25,,Venezuela
Castronovo,Nicaragua,1109.0,2013.0,72%,U.S.A.,3.25,Trinitario,Nicaragua
Castronovo,Tumbes,1153.0,2013.0,70%,U.S.A.,2.75,Criollo,Peru
Castronovo,Guaniamo,1153.0,2013.0,72%,U.S.A.,3.0,,Venezuela
Cello,Ecuador,1247.0,2014.0,70%,U.S.A.,2.5,,Ecuador
Cello,Peru,1247.0,2014.0,70%,U.S.A.,2.75,,Peru
Cello,Venezuela,1251.0,2014.0,70%,U.S.A.,2.75,,Venezuela
Cello,Bolivia,1251.0,2014.0,70%,U.S.A.,3.0,,Bolivia
Cemoi,Equateur,404.0,2009.0,72%,France,2.75,,Ecuador
Chaleur B,Uganda,1426.0,2014.0,70%,Canada,2.75,Forastero,Uganda
Charm School,Maya Mtn,1900.0,2016.0,70%,U.S.A.,3.25,,Belize
Chchukululu (Tulicorp),Arriba,486.0,2010.0,55%,Ecuador,2.75,Forastero (Arriba),Ecuador
Chchukululu (Tulicorp),Los Rios,252.0,2008.0,75%,Ecuador,3.0,Forastero (Arriba),Ecuador
Chequessett,la Amistad,1235.0,2014.0,70%,U.S.A.,3.5,,Costa Rica
Chloe Chocolat,Blend No. 1,672.0,2011.0,70%,France,3.5,,
Chocablog,Ecuador,1454.0,2015.0,70%,U.K.,3.25,,Ecuador
Choco Del Sol,Maya Mountain w/ nibs,1407.0,2014.0,75%,Germany,3.0,Trinitario,Belize
Choco Del Sol,Maya Mountain,1407.0,2014.0,82%,Germany,3.25,Trinitario,Belize
Choco Dong,"Mekong Delta, early 2014 Harvest",1696.0,2015.0,70%,South Korea,2.75,Trinitario,Vietnam
Choco Dong,"Tawau, Oct. 2015 Harvest",1696.0,2015.0,70%,South Korea,3.5,Trinitario,Malaysia
Chocolarder,Peru,1482.0,2015.0,65%,U.K.,2.5,Criollo,Peru
Chocolarder,Peru + nibs,1482.0,2015.0,65%,U.K.,2.75,Criollo,Peru
Chocolarder,Dominican Republic,1514.0,2015.0,80%,U.K.,2.5,,Dominican Republic
Chocola'te,Madagascar,647.0,2011.0,70%,U.S.A.,3.75,Trinitario,Madagascar
Chocola'te,Venezuela,647.0,2011.0,68%,U.S.A.,3.75,,Venezuela
Chocolate Alchemist-Philly,"Tumbes, ""Zarumilla""",1772.0,2016.0,90%,U.S.A.,2.5,,Peru
Chocolate Alchemist-Philly,"Philly Blend, 5 plantations",1772.0,2016.0,80%,U.S.A.,2.5,,
Chocolate Con Amor,Wild Bolivian,1760.0,2016.0,70%,U.S.A.,2.5,,Bolivia
Chocolate Con Amor,Uganda,1760.0,2016.0,70%,U.S.A.,2.75,,Uganda
Chocolate Con Amor,Dominican Republic,1764.0,2016.0,60%,U.S.A.,3.0,,Dominican Republic
Chocolate Con Amor,Dominican Republic,1764.0,2016.0,75%,U.S.A.,3.0,,Dominican Republic
Chocolate Con Amor,Ocumare,1764.0,2016.0,80%,U.S.A.,3.0,Criollo (Ocumare),Venezuela
Chocolate Con Amor,Ecuador,1764.0,2016.0,70%,U.S.A.,3.25,,Ecuador
Chocolate Con Amor,Nicaragua,1768.0,2016.0,80%,U.S.A.,2.75,,Nicaragua
Chocolate Conspiracy,Peru,1259.0,2014.0,74%,U.S.A.,2.75,,Peru
Chocolate Makers,Tres Hombres,1530.0,2015.0,75%,Amsterdam,3.25,Trinitario,Dominican Republic
Chocolate Makers,"Congo, Gorilla bar",1530.0,2015.0,68%,Amsterdam,3.5,Forastero,Congo
Chocolate Makers,"Peru, Awagum bar",1530.0,2015.0,80%,Amsterdam,3.75,Criollo,Peru
"Chocolate Tree, The",Maranon,1582.0,2015.0,69%,Scotland,3.75,Forastero (Nacional),Peru
"Chocolate Tree, The",Carenero Superior,1582.0,2015.0,80%,Scotland,3.75,Trinitario,Venezuela
"Chocolate Tree, The",Peru,1121.0,2013.0,70%,Scotland,3.75,Forastero (Nacional),Peru
"Chocolate Tree, The",Ecuador,919.0,2012.0,82%,Scotland,2.5,Forastero (Arriba),Ecuador
"Chocolate Tree, The",Peru,919.0,2012.0,68%,Scotland,2.75,Criollo,Peru
"Chocolate Tree, The",Madagascar,919.0,2012.0,72%,Scotland,3.25,Criollo,Madagascar
Chocolats Privilege,Xoconusco,1219.0,2014.0,70%,Canada,2.5,Criollo,Mexico
ChocoReko,Patanemo,1454.0,2015.0,77%,Japan,3.0,Criollo,Venezuela
Chocosol,"Chiapas, Lacandon Jungle, Oaxacom Mtn",682.0,2011.0,65%,Canada,3.25,,Mexico
Chocovic,Xoconusco,478.0,2010.0,71%,Spain,3.25,Criollo,Mexico
Chocovic,Sambirano,478.0,2010.0,71%,Spain,3.5,Trinitario,Madagascar
Chocovic,Kendari,439.0,2009.0,60%,Spain,3.25,,
Chocovic,Tarakan,439.0,2009.0,75%,Spain,3.25,,
Chocovic,Ocumare,209.0,2008.0,71%,Spain,3.5,Criollo,Venezuela
Chocovic,"Bolivar, Guaranda",117.0,2007.0,71%,Spain,2.5,Forastero (Arriba),Ecuador
Chocovic,Guyave,117.0,2007.0,71%,Spain,2.5,Trinitario,Grenada
Chocovic,Maragda,117.0,2007.0,70%,Spain,3.0,Blend,
Chocovivo,Tabasco,1522.0,2015.0,65%,U.S.A.,2.5,Trinitario,Mexico
Chocovivo,Tabasco,1522.0,2015.0,75%,U.S.A.,2.5,Trinitario,Mexico
Choklat,Ocumare,377.0,2009.0,80%,Canada,2.5,Criollo,Venezuela
Choklat,"Porcelana, Tabasco",377.0,2009.0,70%,Canada,2.75,Criollo,Mexico
Choklat,Brazilian,377.0,2009.0,70%,Canada,3.0,,Brazil
Choklat,Brazilian,377.0,2009.0,80%,Canada,3.0,,Brazil
Choklat,Ocumare,377.0,2009.0,70%,Canada,3.0,Criollo,Venezuela
Chokolat Elot (Girard),Guadeloupe,1149.0,2013.0,42%,Martinique,2.75,,Martinique
Choocsol,"Chiapas, Lacandon Jungle, Oaxacom Mtn",1832.0,2016.0,75%,Canada,3.25,,Mexico
Christopher Morel (Felchlin),"Maranon Canyon, Fortunato No. 4",666.0,2011.0,68%,Canada,3.75,Forastero (Nacional),Peru
Chuao Chocolatier,Choroni,445.0,2009.0,61%,U.S.A.,3.0,Criollo,Venezuela
Chuao Chocolatier (Pralus),Chuao,486.0,2010.0,77%,U.S.A.,2.75,Trinitario,Venezuela
Claudio Corallo,Terreiro Velho P.,470.0,2010.0,73.5%,Sao Tome,3.75,Forastero,Sao Tome & Principe
Claudio Corallo,Terreiro Velho P. w/ sugar crystals,209.0,2008.0,80%,Sao Tome,3.0,Forastero,Sao Tome & Principe
Claudio Corallo,Terreiro Velho P.,227.0,2008.0,75%,Sao Tome,4.0,Forastero,Sao Tome & Principe
Claudio Corallo,Principe,252.0,2008.0,100%,Sao Tome,1.0,Forastero,Sao Tome & Principe
Cloudforest,"Camino Verde P., Balao, Guayas, 2014",1486.0,2015.0,73%,U.S.A.,3.5,,Ecuador
Coleman & Davis,Sambirano,1646.0,2015.0,75%,U.S.A.,3.0,Trinitario,Madagascar
Compania de Chocolate (Salgado),Sur del Lago,579.0,2010.0,70%,Argentina,3.25,,Venezuela
Compania de Chocolate (Salgado),Carenero Superior,292.0,2008.0,80%,Argentina,2.75,Trinitario,Venezuela
Compania de Chocolate (Salgado),Moxos,292.0,2008.0,72%,Argentina,3.25,,Bolivia
Compania de Chocolate (Salgado),Ocumare,292.0,2008.0,70%,Argentina,3.75,Criollo,Venezuela
Compania de Chocolate (Salgado),Esmeraldas,296.0,2008.0,88%,Argentina,2.75,Forastero (Nacional),Ecuador
Condor,Camino Verde,1630.0,2015.0,76%,U.S.A.,3.5,,Ecuador
Confluence,"Tien Giang, 2015, batch 10-2-16",1916.0,2016.0,78%,U.S.A.,2.75,Trinitario,Vietnam
Coppeneur,"Ecuador, Puristique",1169.0,2013.0,65%,Germany,3.25,Forastero (Nacional),Ecuador
Coppeneur,Ghana Puristique,813.0,2012.0,85%,Germany,3.5,Forastero,Ghana
Coppeneur,Ecuador Puristique,817.0,2012.0,100%,Germany,1.5,,Ecuador
Coppeneur,Uba Budo,821.0,2012.0,72%,Germany,3.75,Forastero,Sao Tome & Principe
Coppeneur,Madagascar,959.0,2012.0,70%,Germany,3.5,Trinitario,Madagascar
Coppeneur,Grenada,470.0,2010.0,72%,Germany,3.25,Trinitario,Grenada
Coppeneur,Chuao,478.0,2010.0,70%,Germany,3.0,Trinitario,Venezuela
Coppeneur,"Los Rios, H. Iara",558.0,2010.0,72%,Germany,2.5,Nacional,Ecuador
Coppeneur,Trinidad,558.0,2010.0,72%,Germany,3.0,Trinitario,Trinidad
Coppeneur,Jamaica,558.0,2010.0,72%,Germany,3.25,Trinitario,Jamaica
Coppeneur,Ocumare 61,558.0,2010.0,72%,Germany,3.25,Criollo (Ocumare 61),Venezuela
Coppeneur,"Porcelana, Apotequil",341.0,2009.0,72%,Germany,3.0,Criollo,Peru
Coppeneur,"Porcelana, Apotequil",445.0,2009.0,62%,Germany,3.25,Criollo,Peru
Coppeneur,Chuao 100hr,451.0,2009.0,70%,Germany,3.5,"Criollo, Trinitario",Venezuela
Coppeneur,Chuao 70hr,451.0,2009.0,70%,Germany,3.75,"Criollo, Trinitario",Venezuela
Coppeneur,"Porcelana, Tabasco, Mexico",220.0,2008.0,72%,Germany,3.0,Criollo,Mexico
Coppeneur,"Porcelana, Venezuela",220.0,2008.0,72%,Germany,3.0,Criollo (Porcelana),Venezuela
Coppeneur,"Sambirano, Menava P.",196.0,2007.0,72%,Germany,3.0,Trinitario,Madagascar
Cote d' Or (Kraft),Sensations Intense,48.0,2006.0,70%,Belgium,1.0,,
Cravve,New Ireland,1283.0,2014.0,70%,Australia,2.5,Forastero,Papua New Guinea
Cravve,"Vanuatu, batch 2410",1335.0,2014.0,83%,Australia,2.75,Trinitario,Vanuatu
Cravve,"Tanzania, batch a1",971.0,2012.0,75%,Australia,3.25,Forastero,Tanzania
Cravve,"Bahia, batch a1213",975.0,2012.0,65%,Australia,3.25,Trinitario,Brazil
Cravve,"Namau Village, N. Taileva P., batch a2812",975.0,2012.0,67%,Australia,3.25,Trinitario,Fiji
Cravve,Vanuatu,975.0,2012.0,64%,Australia,3.25,Trinitario,Vanuatu
Cravve,Djual Island,975.0,2012.0,75%,Australia,3.5,Forastero,Papua New Guinea
Creo,"""heirloom"", Arriba Nacional",1736.0,2016.0,85%,U.S.A.,3.25,Forastero (Nacional),Ecuador
Creo,"""heirloom"", Arriba Nacional",1736.0,2016.0,73%,U.S.A.,3.75,Forastero (Nacional),Ecuador
Daintree,Goodman Estate,1654.0,2015.0,70%,Australia,2.75,,Australia
Daintree,"Daintree Estates, N. Queensland",785.0,2011.0,70%,Australia,3.25,,Australia
Dalloway,"Dominican Republic, batch 7",1928.0,2017.0,72%,U.S.A.,2.75,,Dominican Republic
Damson,Robson Estate,1610.0,2015.0,70%,U.K.,3.0,Trinitario,Trinidad
Damson,Los Rios,1610.0,2015.0,70%,U.K.,3.5,,Ecuador
Damson,Crayfish Bay aka Non Pariel Estate,1666.0,2015.0,70%,U.K.,2.25,,Grenada
Damson,O'Payo,1666.0,2015.0,70%,U.K.,2.75,,Nicaragua
Dandelion,"Zorzal Reserva, 2015 H., Kerchner",1816.0,2016.0,70%,U.S.A.,3.75,,
Dandelion,"Maya Mtn., Break Bar- Snark",1446.0,2015.0,70%,U.S.A.,3.0,Trinitario,Belize
Dandelion,Maya Mountain,1219.0,2014.0,70%,U.S.A.,3.5,Trinitario,Belize
Dandelion,"Camino Verde P., Balao, Guayas, 2013",1295.0,2014.0,70%,U.S.A.,3.5,,Ecuador
Dandelion,Buto,1303.0,2014.0,70%,U.S.A.,2.75,,Liberia
Dandelion,"San Francisco de Macoris, Cibao region",1387.0,2014.0,70%,U.S.A.,3.75,,Dominican Republic
Dandelion,"Cumboto, farmer Jose Lugo",1026.0,2013.0,70%,U.S.A.,2.75,,Venezuela
Dandelion,Patanemo,1026.0,2013.0,70%,U.S.A.,3.25,,Venezuela
Dandelion,"Mantuano, 2012",1085.0,2013.0,70%,U.S.A.,3.5,,Venezuela
Dandelion,Papua New Guinea,1153.0,2013.0,70%,U.S.A.,3.5,,Papua New Guinea
Dandelion,Upala,805.0,2012.0,70%,U.S.A.,3.0,,Costa Rica
Dandelion,Colombian,805.0,2012.0,70%,U.S.A.,3.25,,Colombia
Dandelion,"Elvesia, 2011",915.0,2012.0,70%,U.S.A.,3.75,,Dominican Republic
Dandelion,Dominican Republic,654.0,2011.0,70%,U.S.A.,3.25,,Dominican Republic
Dandelion,Madagascar,654.0,2011.0,70%,U.S.A.,3.25,Trinitario,Madagascar
Dandelion,Tanzania,654.0,2011.0,70%,U.S.A.,3.25,,Tanzania
Danta,Los Ujuxtes,1223.0,2014.0,82%,Guatemala,3.25,,Guatemala
Danta,Chuao,987.0,2012.0,75%,Guatemala,3.0,Trinitario,Venezuela
Danta,Los Ujuxtes,987.0,2012.0,70%,Guatemala,3.75,,Guatemala
Danta,Sambirano,987.0,2012.0,70%,Guatemala,3.75,Trinitario,Madagascar
Danta,Las Acacias E.,987.0,2012.0,70%,Guatemala,4.0,Criollo,Guatemala
Danta,"Oscuro, Finca Chimelb",991.0,2012.0,70%,Guatemala,3.25,,Guatemala
Danta,Los Ujuxtes,661.0,2011.0,60%,Guatemala,3.5,,Guatemala
Danta,Las Acacias E.,423.0,2009.0,75%,Guatemala,3.0,Criollo,Guatemala
Danta,Las Acacias E.,423.0,2009.0,60%,Guatemala,3.25,Criollo,Guatemala
DAR,"Venezuela, batch 122",1920.0,2016.0,72%,U.S.A.,2.75,,Venezuela
DAR,Vietnam,1920.0,2016.0,72%,U.S.A.,3.0,Trinitario,Vietnam
DAR,"DUO, batch 002",1920.0,2016.0,70%,U.S.A.,3.25,,"Ecuador, Costa Rica"
Dark Forest,Bolivia,1708.0,2016.0,75%,U.S.A.,3.25,,Bolivia
Dark Forest,Madagascar,1550.0,2015.0,70%,U.S.A.,3.0,Trinitario,Madagascar
Dark Forest,Ocumare,1550.0,2015.0,70%,U.S.A.,3.25,,Venezuela
Dark Forest,Tanzania,1554.0,2015.0,70%,U.S.A.,3.0,,Tanzania
Dark Forest,Ecuador,1554.0,2015.0,70%,U.S.A.,3.25,,Ecuador
Davis,Ghana,1093.0,2013.0,70%,U.S.A.,2.5,Forastero,Ghana
Davis,Rainforest,1093.0,2013.0,70%,U.S.A.,2.75,,Dominican Republic
Davis,Venezuela,1093.0,2013.0,70%,U.S.A.,2.75,,Venezuela
Davis,West Africa,907.0,2012.0,58%,U.S.A.,3.25,Forastero,West Africa
De Mendes,"Nativo, Varzea",1462.0,2015.0,72%,Brazil,3.5,,Brazil
De Mendes,"Selvagem, Jari",1462.0,2015.0,65%,Brazil,3.5,,Brazil
De Villiers,Bundibugyo District,1832.0,2016.0,70%,South Africa,2.5,Forastero,Uganda
De Villiers,"Sambirano Valley, batch 2477",1832.0,2016.0,70%,South Africa,3.0,,Madagascar
Dean and Deluca (Belcolade),Madagascar,170.0,2007.0,66%,U.S.A.,2.5,Trinitario,Madagascar
Dean and Deluca (Belcolade),Costa Rica,175.0,2007.0,64%,U.S.A.,3.0,,Costa Rica
Dean and Deluca (Belcolade),Ecuador,175.0,2007.0,71%,U.S.A.,3.0,,Ecuador
Dean and Deluca (Belcolade),Ghana,175.0,2007.0,60%,U.S.A.,3.0,Forastero,Ghana
Dean and Deluca (Belcolade),Papua New Guinea,180.0,2007.0,64%,U.S.A.,3.0,,Papua New Guinea
Dean and Deluca (Belcolade),Peru,180.0,2007.0,64%,U.S.A.,3.0,,Peru
Debauve & Gallais (Michel Cluizel),Papua New Guinea,423.0,2009.0,64%,France,3.0,,Papua New Guinea
Debauve & Gallais (Michel Cluizel),Venezuela,263.0,2008.0,66%,France,3.75,,Venezuela
Desbarres,"Kilombero, batch 41",1916.0,2016.0,72%,Canada,2.5,,Tanzania
DeVries,Bolivian,241.0,2008.0,80%,U.S.A.,2.75,,Bolivia
DeVries,Costa Rica,166.0,2007.0,77%,U.S.A.,3.5,Trinitario,Costa Rica
DeVries,Dominican Republic,166.0,2007.0,77%,U.S.A.,3.5,,Dominican Republic
Dick Taylor,Lanquin Estate,1952.0,2017.0,70%,U.S.A.,3.75,,Guatemala
Dick Taylor,Tien Giang,1864.0,2016.0,78%,U.S.A.,3.5,Trinitario,Vietnam
Dick Taylor,"Alto Beni, Wild Harvest, Limited Ed.",1634.0,2015.0,70%,U.S.A.,3.75,,Bolivia
Dick Taylor,Elvesia,1235.0,2014.0,74%,U.S.A.,3.5,,Dominican Republic
Dick Taylor,"Ecuador, Choc. Garage Exclusive",1034.0,2013.0,70%,U.S.A.,3.25,,Ecuador
Dick Taylor,Camino Verde,1193.0,2013.0,76%,U.S.A.,3.5,,Ecuador
Dick Taylor,Bolivia,895.0,2012.0,75%,U.S.A.,2.75,,Bolivia
Dick Taylor,Belize,955.0,2012.0,72%,U.S.A.,2.75,Trinitario,Belize
Dick Taylor,Sambirano,661.0,2011.0,80%,U.S.A.,2.75,Trinitario,Madagascar
Dick Taylor,Sambirano,661.0,2011.0,72%,U.S.A.,3.0,Trinitario,Madagascar
Dick Taylor,Mantuano,682.0,2011.0,75%,U.S.A.,2.75,Criollo,Venezuela
Dick Taylor,La Red,769.0,2011.0,74%,U.S.A.,3.0,,Dominican Republic
Dick Taylor,Ecuador,769.0,2011.0,70%,U.S.A.,3.25,,Ecuador
Doble & Bignall,Puerto Cabello,1688.0,2015.0,85%,U.K.,3.0,,Venezuela
Doble & Bignall,"Panama, Raven",1371.0,2014.0,72%,U.K.,3.25,,Panama
Doble & Bignall,"Puerto Cabello, Mantuano",1371.0,2014.0,72%,U.K.,3.25,Trinitario,Venezuela
Doble & Bignall,Johe,1407.0,2014.0,72%,U.K.,3.5,"Criollo, Trinitario",Nicaragua
Dole (Guittard),"O'ahu, N. Shore, Waialua Estate",311.0,2009.0,70%,U.S.A.,3.75,,Hawaii
Dolfin (Belcolade),Africa,304.0,2008.0,88%,Belgium,3.0,Forastero,West Africa
Dolfin (Belcolade),Noir,63.0,2006.0,70%,Belgium,1.5,,
Domori,Hacienda Victoria,1672.0,2015.0,70%,Italy,3.75,,Ecuador
Domori,Ocumare 77,1672.0,2015.0,70%,Italy,3.75,Criollo (Ocumare 77),Venezuela
Domori,"IL100, H. San Jose",1109.0,2013.0,100%,Italy,3.0,Criollo,Venezuela
Domori,Morogoro,863.0,2012.0,70%,Italy,3.5,,Tanzania
Domori,Guasare,863.0,2012.0,70%,Italy,3.75,Criollo,Venezuela
Domori,"Canoabo, Hacienda San Jose",693.0,2011.0,70%,Italy,3.5,Criollo,Venezuela
Domori,"Chuao, Hacienda San Jose",470.0,2010.0,70%,Italy,3.0,Trinitario,Venezuela
Domori,"Carupano, H. San Jose",227.0,2008.0,70%,Italy,3.0,Trinitario,Venezuela
Domori,Teyuna,272.0,2008.0,70%,Italy,3.0,,Colombia
Domori,Blend No. 1,272.0,2008.0,78%,Italy,3.5,Blend,
Domori,Ilblend,272.0,2008.0,70%,Italy,3.75,Blend,
Domori,Porcelana,111.0,2007.0,70%,Italy,4.0,Criollo (Porcelana),Venezuela
Domori,"Ocumare 61, Puertomar",129.0,2007.0,75%,Italy,3.25,Criollo (Ocumare 61),Venezuela
Domori,Granella,135.0,2007.0,60%,Italy,3.25,Trinitario,Venezuela
Domori,Madagascar,135.0,2007.0,70%,Italy,3.5,Trinitario,Madagascar
Domori,Madagared,192.0,2007.0,70%,Italy,3.5,Criollo,Madagascar
Domori,"Java, Javablond",192.0,2007.0,70%,Italy,3.75,Criollo,Indonesia
Domori,Ecuador,192.0,2007.0,70%,Italy,4.0,Forastero (Arriba),Ecuador
Domori,"Ocumare 67, Puertofino",192.0,2007.0,70%,Italy,4.0,Criollo (Ocumare 67),Venezuela
Domori,Sur del Lago Classificado,87.0,2006.0,70%,Italy,3.0,Trinitario,Venezuela
Domori,Apurimac,87.0,2006.0,70%,Italy,3.25,Trinitario,Peru
